id,NameKey,ConditionType,ConditionValue,Duration,EffectType,EffectValue
1,$ComboAttackUpBuff,4,10,5,1,1.1
2,$LowHealthAttackUpBuff,1,0.3,0,1,1.5
3,$MultitaskingBuffL1,5,0.1,0,2,1.2
4,$MultitaskingBuffL2,5,0.1,0,2,1.4
5,$MultitaskingBuffL3,5,0.1,0,2,1.8
6,$BullseyeBuffL1,6,3,0,1,1.3
7,$BullseyeBuffL2,6,3,0,1,1.5
8,$BullseyeBuffL3,6,2,0,1,1.5
9,$RageBuffL1,7,1,0,1,1.2
10,$RageBuffL2,7,1.5,0,1,1.2
11,$RageBuffL3,7,2,0,1,1.2
12,$DopamineBuffL1,8,1.1,0,2,1.1
13,$DopamineBuffL2,8,1.6,0,2,1.2
14,$DopamineBuffL3,8,2,0,2,1.3
15,$AdrenalinBuffL1,9,0,0,3,0.2
16,$AdrenalinBuffL2,9,0,0,3,0.5
17,$AdrenalinBuffL3,9,0,0,3,1
18,$CounterStepBuffL1,3,0,2,1,1.3
19,$CounterStepBuffL2,3,0,3,1,1.4
20,$CounterStepBuffL3,3,0,3,1,1.6
