id,NameKey,UpgradeType,PlayerUnlockType,Level,Value1,Value1ParameterType,Value2,Value2ParameterType,Value3,Value3ParameterType,Value4,Value4ParameterType,Value5,Value5ParameterType,BuffId,Cost
1,$BaseDamageUp,1,0,1,1.1,1,0,0,0,0,0,0,0,0,,50
2,$BaseDamageUp,1,0,2,1.2,1,0,0,0,0,0,0,0,0,,90
3,$BaseDamageUp,1,0,3,1.4,1,0,0,0,0,0,0,0,0,,160
4,$BulletSize,3,0,1,1.1,1,0,0,0,0,0,0,0,0,,50
5,$BulletSize,3,0,2,1.2,1,0,0,0,0,0,0,0,0,,90
6,$BulletSize,3,0,3,1.4,1,0,0,0,0,0,0,0,0,,160
7,$BaseFireRate,2,0,1,0.95,1,0,0,0,0,0,0,0,0,,50
8,$BaseFireRate,2,0,2,0.9,1,0,0,0,0,0,0,0,0,,90
9,$BaseFireRate,2,0,3,0.8,1,0,0,0,0,0,0,0,0,,160
10,$Health,8,0,1,1.5,1,0,0,0,0,0,0,0,0,,50
11,$Health,8,0,2,2,1,0,0,0,0,0,0,0,0,,90
12,$Health,8,0,3,3,1,0,0,0,0,0,0,0,0,,160
13,$ComboAttackUp,9,0,1,0,0,0,0,0,0,0,0,0,0,1,50
14,$LowHealthAttackUp,9,0,1,0,0,0,0,0,0,0,0,0,0,2,50
15,$Multitasking,9,1,1,0,0,0,0,0,0,0,0,0,0,3,50
16,$Multitasking,9,1,2,0,0,0,0,0,0,0,0,0,0,4,90
17,$Multitasking,9,1,3,0,0,0,0,0,0,0,0,0,0,5,160
18,$ExcessiveIntimidation,3,0,1,1.1,1,0,0,0,0,0,0,0,0,,50
19,$ExcessiveIntimidation,3,0,2,1.3,1,0,0,0,0,0,0,0,0,,90
20,$ExcessiveIntimidation,3,0,3,1.5,1,0,0,0,0,0,0,0,0,,160
21,$ExcessiveIntimidation,3,0,4,2,1,0,0,0,0,0,0,0,0,,290
22,$ExcessiveIntimidation,3,0,5,2.5,1,0,0,0,0,0,0,0,0,,520
23,$Bullseye,9,0,1,0,0,0,0,0,0,0,0,0,0,6,50
24,$Bullseye,9,0,2,0,0,0,0,0,0,0,0,0,0,7,90
25,$Bullseye,9,0,3,0,0,0,0,0,0,0,0,0,0,8,160
26,$Rage,9,0,1,0,0,0,0,0,0,0,0,0,0,9,50
27,$Rage,9,0,2,0,0,0,0,0,0,0,0,0,0,10,90
28,$Rage,9,0,3,0,0,0,0,0,0,0,0,0,0,11,160
29,$Barrier,10,0,1,0.05,1,0,0,0,0,0,0,0,0,,50
30,$Barrier,10,0,2,0.2,1,0,0,0,0,0,0,0,0,,90
31,$Barrier,10,0,3,0.5,1,0,0,0,0,0,0,0,0,,160
32,$NormalDamageUp,11,0,1,1.1,1,0,0,0,0,0,0,0,0,,50
33,$NormalDamageUp,11,0,2,1.2,1,0,0,0,0,0,0,0,0,,90
34,$NormalDamageUp,11,0,3,1.4,1,0,0,0,0,0,0,0,0,,160
35,$NormalDamageUp,11,0,4,1.6,1,0,0,0,0,0,0,0,0,,290
36,$NormalDamageUp,11,0,5,2,1,0,0,0,0,0,0,0,0,,520
37,$WaltzDamageUp,12,0,1,1.1,1,0,0,0,0,0,0,0,0,,50
38,$WaltzDamageUp,12,0,2,1.2,1,0,0,0,0,0,0,0,0,,90
39,$WaltzDamageUp,12,0,3,1.4,1,0,0,0,0,0,0,0,0,,160
40,$WaltzDamageUp,12,0,4,1.6,1,0,0,0,0,0,0,0,0,,290
41,$WaltzDamageUp,12,0,5,2,1,0,0,0,0,0,0,0,0,,520
42,$MergeDamageUp,13,0,1,1.1,1,0,0,0,0,0,0,0,0,,50
43,$MergeDamageUp,13,0,2,1.2,1,0,0,0,0,0,0,0,0,,90
44,$MergeDamageUp,13,0,3,1.4,1,0,0,0,0,0,0,0,0,,160
45,$MergeDamageUp,13,0,4,1.6,1,0,0,0,0,0,0,0,0,,290
46,$MergeDamageUp,13,0,5,2,1,0,0,0,0,0,0,0,0,,520
47,$ChokePoint,14,0,1,0.15,1,0,0,0,0,0,0,0,0,,50
48,$ChokePoint,14,0,2,0.3,1,0,0,0,0,0,0,0,0,,90
49,$ChokePoint,14,0,3,0.3,1,0,0,0,0,0,0,0,0,,160
50,$BigMouse,15,0,1,0.15,1,0,0,0,0,0,0,0,0,,50
51,$BigMouse,15,0,2,0.2,1,0,0,0,0,0,0,0,0,,90
52,$BigMouse,15,0,3,0.2,1,0,0,0,0,0,0,0,0,,160
53,$Diversion,16,0,1,0.2,1,0,0,0,0,0,0,0,0,,50
54,$Diversion,16,0,2,0.2,1,0,0,0,0,0,0,0,0,,90
55,$Diversion,16,0,3,0.35,1,0,0,0,0,0,0,0,0,,160
56,$GiantKilling,17,0,1,1,1,0,0,0,0,0,0,0,0,,50
57,$GiantKilling,17,0,2,2,1,5,1,0,0,0,0,0,0,,90
58,$GiantKilling,17,0,3,3,1,10,1,0,0,0,0,0,0,,160
59,$Dopamine,9,4,1,0,0,0,0,0,0,0,0,0,0,12,50
60,$Dopamine,9,4,2,0,0,0,0,0,0,0,0,0,0,13,90
61,$Dopamine,9,4,3,0,0,0,0,0,0,0,0,0,0,14,160
62,$Adrenalin,9,0,1,0,0,0,0,0,0,0,0,0,0,15,50
63,$Adrenalin,9,0,2,0,0,0,0,0,0,0,0,0,0,16,90
64,$Adrenalin,9,0,3,0,0,0,0,0,0,0,0,0,0,17,160
65,$PeaceMaker,18,0,1,6,1,0.5,1,2,2,0,0,0,0,,50
66,$PeaceMaker,18,0,2,8,1,0.5,1,2,2,0,0,0,0,,90
67,$PeaceMaker,18,0,3,10,1,0.5,1,2,2,0,0,0,0,,160
68,$Avalanche,19,4,1,2,2,0.2,1,0,0,0,0,0,0,,50
69,$LuckyChance,20,0,1,0.1,1,0,0,0,0,0,0,0,0,,50
70,$LuckyChance,20,0,2,0.2,1,0,0,0,0,0,0,0,0,,90
71,$LuckyChance,20,0,3,0.3,1,0,0,0,0,0,0,0,0,,160
72,$LuckyChance,20,0,4,0.45,1,0,0,0,0,0,0,0,0,,290
73,$LuckyChance,20,0,5,0.6,1,0,0,0,0,0,0,0,0,,520
74,$KillingCall,21,2,1,1,1,0,0,0,0,0,0,0,0,,50
75,$KillingCall,21,2,2,1.5,1,0,0,0,0,0,0,0,0,,90
76,$KillingCall,21,2,3,2,1,0,0,0,0,0,0,0,0,,160
77,$TurnTable,22,0,1,0.5,1,0,0,0,0,0,0,0,0,,50
78,$TurnTable,22,0,2,1,1,0,0,0,0,0,0,0,0,,90
79,$TurnTable,22,0,3,1.5,1,0,0,0,0,0,0,0,0,,160
80,$SnakeEyes,23,0,1,0.9,1,2,1,1,1,0,0,0,0,,50
81,$SnakeEyes,23,0,2,0.9,1,3,1,1,1,0,0,0,0,,90
82,$SnakeEyes,23,0,3,0.9,1,3,1,5,1,0,0,0,0,,160
83,$Medusa,24,0,1,1,1,2,1,0,0,0,0,0,0,,50
84,$Medusa,24,0,2,2,1,2,1,0,0,0,0,0,0,,90
85,$Medusa,24,0,3,3,1,2,1,0,0,0,0,0,0,,160
86,$MeanMug,25,0,1,1.1,1,2,1,0,0,0,0,0,0,,50
87,$MeanMug,25,0,2,1.25,1,3,1,0,0,0,0,0,0,,90
88,$MeanMug,25,0,3,1.4,1,3,1,0,0,0,0,0,0,,160
89,$DependencyNodeAlpha,26,0,1,0,0,0,0,0,0,0,0,0,0,,50
90,$DependencyNodeBeta,26,0,1,0,0,0,0,0,0,0,0,0,0,,50
91,$DependencyNodeGamma,26,0,1,0,0,0,0,0,0,0,0,0,0,,50
92,$DamageNode,27,0,1,0.15,1,0.7,2,0,0,0,0,0,0,,50
93,$CareNode,28,0,1,0.02,1,0.005,2,1,2,0,0,0,0,,50
94,$EmergencyNode,29,0,1,1,1,0,0,0,0,0,0,0,0,,50
95,$CounterStep,9,0,1,0,0,0,0,0,0,0,0,0,0,18,50
96,$CounterStep,9,0,2,0,0,0,0,0,0,0,0,0,0,19,90
97,$CounterStep,9,0,3,0,0,0,0,0,0,0,0,0,0,20,160
98,$Appraisal,30,0,1,1,1,0,0,0,0,0,0,0,0,,50
99,$Appraisal,30,0,2,2,1,0,0,0,0,0,0,0,0,,90
100,$Fixation,31,0,1,1,1,0,0,0,0,0,0,0,0,,50
101,$Fixation,31,0,2,2,1,0,0,0,0,0,0,0,0,,90
102,$Fixation,31,0,3,4,1,0,0,0,0,0,0,0,0,,160
106,$ElectricShock,33,3,1,0.5,1,0.5,1,3,1,0,0,0,0,,50
107,$ElectricShock,33,3,2,0.5,1,0.5,1,3,1,0,0,0,0,,90
108,$ElectricShock,33,3,3,1,1,0.5,1,3,1,0,0,0,0,,160
109,$ExtraConflict,34,4,1,2,1,0.5,1,0,0,0,0,0,0,,50
110,$FocusConflict,35,2,1,1.25,1,0.8,1,0,0,0,0,0,0,,50
111,$MergeConflict,36,4,1,1.5,1,1,1,0,0,0,0,0,0,,50
112,$WaltzConflict,37,3,1,1,1,0.667,1,0,0,0,0,0,0,,50
